configuration,dataset,SE,SP,ACC,F1,AUC
baseline,DRIVE,0.7537,0.9820,0.9531,0.8075,0.9755
baseline,CHASE_DB1,0.8466,0.9820,0.9635,0.8206,0.9757
baseline,STARE,0.7810,0.9778,0.9630,0.8161,0.9684
csde,DRIVE,0.7974,0.9822,0.9572,0.8139,0.9805
csde,CHASE_DB1,0.8532,0.9824,0.9643,0.8248,0.9791
csde,STARE,0.7965,0.9802,0.9655,0.8271,0.9729
samg,DRIVE,0.8157,0.9824,0.9581,0.8201,0.9816
samg,CHASE_DB1,0.8858,0.9789,0.9607,0.8313,0.9839
samg,STARE,0.8579,0.9731,0.9669,0.8373,0.9817
dcdf,DRIVE,0.8227,0.9823,0.9598,0.8308,0.9833
dcdf,CHASE_DB1,0.8527,0.9859,0.9650,0.8326,0.9870
dcdf,STARE,0.8431,0.9817,0.9695,0.8524,0.9859
detail_decoder,DRIVE,0.8365,0.9818,0.9617,0.8351,0.9843
detail_decoder,CHASE_DB1,0.8220,0.9877,0.9674,0.8397,0.9887
detail_decoder,STARE,0.8462,0.9860,0.9720,0.8605,0.9895
selective_skip,DRIVE,0.8473,0.9819,0.9629,0.8414,0.9852
selective_skip,CHASE_DB1,0.8063,0.9906,0.9680,0.8438,0.9899
selective_skip,STARE,0.8470,0.9899,0.9736,0.8737,0.9925
full,DRIVE,0.8421,0.9768,0.9704,0.8323,0.9824
full,CHASE_DB1,0.8600,0.9815,0.9752,0.8102,0.9938
full,STARE,0.8661,0.9812,0.9775,0.8510,0.9895
