source,target,F1,ACC,AUC,SE,SP
DRIVE,CHASE_DB1,71.44,96.11,99.21,79.64,97.11
DRIVE,STARE,82.49,97.25,98.90,87.27,97.59
DRIVE,HRF,77.61,96.11,98.90,87.84,96.80
CHASE_DB1,DRIVE,68.94,95.67,80.05,55.39,99.26
CHASE_DB1,STARE,76.61,97.00,86.25,66.28,99.10
CHASE_DB1,HRF,79.06,96.90,96.11,76.24,98.65
STARE,DRIVE,78.35,96.59,90.67,71.15,98.70
STARE,CHASE_DB1,72.08,96.51,98.37,74.02,97.94
STARE,HRF,78.58,96.51,99.01,83.58,97.60
HRF,DRIVE,79.96,96.74,93.01,74.69,98.36
HRF,CHASE_DB1,74.28,96.83,97.99,74.98,98.19
HRF,STARE,83.25,97.59,96.17,80.75,98.36
